Event Name,Date,Location,Description,Organizer,Google Search Result,Google Search Link
International Yoga Festival 2024,08/03/2024,"Parmarth Niketan Ashram PO Swargashram Rishikesh, Uttarakhand 249304","Welcome to the International Yoga Festival 2024! Get ready to immerse yourself in the world of yoga and experience a transformative journey like never before. Join us at the beautiful Parmarth Niketan Ashram in Rishikesh, Uttarakhand, from March 8, 2024 - March 14, 2024, and indulge in a week-long celebration of mind, body, and soul.
At this incredible event, you'll have the opportunity to learn from renowned yoga gurus and experts from around the globe. Discover the ancient wisdom of yoga through a variety of workshops, classes, and interactive sessions. Whether you're a beginner or an experienced yogi, there's something for everyone.
Immerse yourself in the serene surroundings of the ashram, nestled in the picturesque Swargashram. Connect with like-minded individuals from different cultures and backgrounds, forming lifelong friendships along the way. Engage in lively discussions, share experiences, and expand your knowledge of yoga and its profound benefits.
During the festival, you'll have the chance to explore various yoga styles, including Hatha, Vinyasa, Ashtanga, and Kundalini. Dive deep into meditation and pranayama practices, rejuvenate with Ayurvedic therapies, and experience the blissful union of body, mind, and spirit.
Aside from yoga, indulge in the vibrant cultural activities, music, and dance performances that showcase the rich heritage of India. Savor delicious vegetarian meals prepared with love and mindfulness, nourishing your body with wholesome goodness.
Join us at the International Yoga Festival 2024 and embark on a transformative journey that will leave you feeling refreshed, rejuvenated, and inspired. Reserve your spot now and get ready to embrace the magic of yoga amidst the serene beauty of Rishikesh.
T﻿erms & Conditions
All fees are per person / per registration. We cannot modify / discount residential packages for partial stay or participation for any reason. Accommodation and meals before and after the festival are additional. There is no guarantee of room type / preference at any point, however we will do our best to accommodate all requests. By purchasing your IYF ticket and collecting your wristband from our Registration Desk, you accept the following Terms & Conditions: Parmarth Niketan and it's representatives shall be not held liable for any injury, damage, loss, delay or irregularity that may be occasioned for any reason by guests attending IYF, including but not limited to: death, personal injury, illness, delay or cancellation of scheduled performances and loss of or damage to personal property. Your wristband must be worn to gain entry & re-entry to venues and performances. Any wristbands removed or damaged will be consider null and void and will not be replaced. Parmarth Niketan has the right to prohibit anyone without a wristband from gaining access to any of the festival venues. All participants grant the International Yoga Festival & Parmarth Niketan the rights to utilise the participant’s image, likeness, actions and statements in any live or recorded audio, video, film, or photographic display or other transmission, exhibition, publication or reproduction made of, or at, the Event in any medium or context for any purpose, including commercial or promotional purposes, without further authorisation or compensation.",Parmarth Niketan Ashram,"Join us from March 8-14, 2024 for the world-famous International Yoga Festival on the banks of the holy Ganges river, in the lap of the sacred Himalayas, the birthplace of yoga at Parmarth Niketan Ashram. Receive the darshan and inspiring, uplifting wisdom of revered saints, the teaching and touch of renowned yoga teachers from across the world, from a wide variety of lineages, plus ecstatic kirtan, divine Ganga Aarti and much more. The International Yoga Festival is a truly globally-unique event bringing together so many masters from so many traditions, cultures and countries in one sacred, beautiful place!",https://internationalyogafestival.org/event/international-yoga-festival-2024/
*Pre Reservation India Season 2024 | Pré Reserva Temporada Índia 2024,07/03/2024,"3722+6M4, Chopda Farm, Khadri Khadakmaf, Uttarakhand Rishikesh, UK 249204","🇺🇸 Important: there are vacancies for lodging at the ashram, however, as we are already fully booked for certain specific days, we ask that you contact our team to make your reservation.
🇧🇷 Importante: há vagas para hospedagem no ashram, porém como para alguns dias em específico já estamos lotados, pedimos que entre em contato com o atendimento para fazer a sua reserva.",Sachcha Mission Ashram,,https://allevents.in/rishikesh/pre-reservation-india-season-2024-%7C-pr%C3%A9-reserva-temporada-%C3%8Dndia-2024/10000759715849557
India Tech Summit,23/08/2024,"Location TBA New Delhi, DL","India Tech Summit is an international program featuring global speakers and partners passionate about the future of India. The central theme of the global summit is to “catalyze entrepreneurial and business ecosystems in emerging markets”.
The multi year event is a 13- year initiative of the Global Startup Ecosystem which brings together hundreds of entrepreneurs, investors, digital marketers and creatives together in to targeted cities around the world to accelerate tech, innovation and economic development within the host country.",Global Startup Ecosystem,New Delhi,https://www.eventbrite.com/e/india-tech-summit-tickets-97765875365
Dharte x Way-Well - Harmony by the sea: A Wellness Festival By the Pier,25/02/2024,"157 Arthur Bunder Road Mumbai, MH 400001","Scheduled for the 25th of February 2024, Way Well, a premier Wellness Event Management company, prioritizes customers' health with unique wellness solutions. Our vision is to empower everyone to experience their best selves through diverse well-being practices. 'Harmony by the Sea,' our inaugural transformative wellbeing festival at the Pier, unifies over 60 certified experts, creating a curated marketplace for diverse wellness modalities, addressing the vital need for holistic well-being.

Why Attend?

Holistic Health Offerings
Services and practitioners providing holistic health solutions.
Interactive Experiences
Demonstrations, immersive sessions, and engaging speaker series.
Diverse Personal Sessions
One-on-one experiences, including tarot, tea leaf reading, numerology, su-jok, and auto writing.
Live Entertainment
Enjoy live music and a variety of food and beverage options.
Community Engagement
Connect with like-minded individuals, explore 40+ conscious brands, and explore potential collaborations.",Dharte UK,"Discover the fusion of style and wellness at ' Fashion, Lifestyle & Wellness' – where fashion trends intertwine with holistic health",https://www.eventbrite.co.uk/e/dharte-x-way-well-harmony-by-the-sea-a-wellness-festival-by-the-pier-registration-814525185757
Yoga Teacher Training in Rishikesh India,02/04/2024,"Arogya Yoga School Nirmal Bag, Block B, Lane No 10, Rishikesh Rishikesh, TN 249201","Best Yoga Teacher Training in Rishikesh, India

Yoga Teacher Training Course in Rishikesh, India as confident teachers with a strong and solid teaching skill set ready to begin their career in the world of Yoga.
Yoga Teacher Training in India at Arogya Yoga School as confident teachers with strong and solid teaching skills, ready to start their career in yoga. They develop a unique art of teaching along with a comprehensive understanding of asana, pranayama, shatkarma, alignment, ayurveda, philosophy, anatomy, mudras, mantras and meditation. Our Yoga Alliance registered Yoga Teacher Training in India is intensive and enriching for yoga beginners to intermediates. With over 1000 graduates and a decade of teaching experience, our established Yoga Teacher Training in India Program fulfills the best and highest standards for aspiring Yoga Teachers.

Alongside developing practical skills in the art of teaching, our trainees also gain a comprehensive understanding of: Best Yoga Teacher Training in Rishikesh India

Yoga Teacher Training Curriculum :
– Yoga Asana
– Yoga Asana Adjustments
– Philosophy
– Physiology
– Mantra Chanting
– Chakras
– Anatomy
– Ayurveda
– Mudras
– Pranayama
– Meditation

Yoga Teacher Training in Rishikesh: Daily Schedule
6:00 AM - 7:30 AM, Yoga
7:45 AM - 8:45 AM, Pranayama
9:00 AM - 10:00 AM, Breakfast
10:30 AM - 11:30 AM, Yoga Philosophy
11:30 AM - 12:00 PM, Break
12:00 PM - 1:00 PM, Teaching methodology
1:00 PM - 1:45 PM, Lunch
3:00 PM - 4:00 PM, Yoga Anatomy/Alignment Class
4:00 PM - 4:15 PM, Tea Break
4:15 PM - 5:45 PM, Yoga
6:00 PM - 7:00 PM, Meditation/Yoga Nidra


Best Yoga Teacher Training in Rishikesh India - Affiliation With Yoga Alliance
200 Hour Yoga Teacher Training Course in Rishikesh, India, at Arogya yoga School is affiliated with Yoga Alliance accreditation. After the culmination of the course, participants will be awarded a 200 RYT certificate which makes them qualified to teach yoga across the globe as well as get enlisted with Yoga Alliance USA.

Yoga Teacher Training in India

Yoga Alliance certified Yoga Teacher Training in Rishikesh, India, Arogya Yoga School is a Yoga Alliance Registered Yoga School (RYS 200, RYS 300 and RYS 500). Arogya Yoga Schoool in India offers excellent and unique Yoga Teacher Training Programs such as the Yoga Retreat in Rishikesh India, 100 Hour Yoga TTC, 200 Hour Yoga Teacher Training in Rishikesh, 300 Hour Yoga Teacher Training in Rishikesh and 500 Hour Yoga Teacher Training in Rishikesh.",Book Yoga Rishikesh,,https://www.bookyogaretreats.com/all/c/yoga-teacher-training/d/asia-and-oceania/india/rishikesh
India hemp Expo,24/02/2024,"Veerannapalya Rd Bengaluru, KA 560024","India Hemp Expo
Get ready to learn, grow and network about hemp! The third edition of the India Hemp Expo is coming to the Manpho Convention Centre, Manayata Tech Park in Bengaluru Slated to be organized from 24th to 25th February 2024 the upcoming India Hemp Expo will boost the growth of the hemp industry by bringing together professionals and industrialists who are involved in one way or another with this nascent industry.",Indianvaidyas,,https://indiahempexpo.com/contact
yoga retreat in Rishikesh India,02/03/2024,"Road Rishikesh, UK 249192","Escape the hustle and rejuvenate your mind, body, and soul at our exclusive Yoga Retreat nestled in the spiritual haven of Rishikesh, India. Immerse yourself in the serenity of the Himalayas, where the Ganges River flows and ancient yogic traditions thrive.
Retreat Highlights: Daily Yoga and Meditation Sessions Nature Walks sunrise meditation and & Pooja at Shri Kunjapuri Temple of Himalayas, Evening Satsang and Chanting Sunrise Yoga by the Ganges Nutrient-rich Vegetarian Meals",Hare Rama Institute,"If you're seeking a true, world-renowned yoga learning experience in the spiritual hub of Rishikesh, Hare Rama Institute is your perfect choice. We have established our school just a year ago, and it has quickly become the preferred landmark for students worldwide looking to explore the ancient art and science of yoga. Since our inception, we have passionately trained students in yoga, both online and offline. We offer a deep spiritual experience while teaching various yoga styles, ensuring there's a style to suit everyone. What sets us apart from the rest is our commitment to traditional teaching methods and our strong connection with our students.",https://www.hareramainstitute.com/
Empanetics High-Impact Trust Workshop,02/03/2024,"Virtual or @ Your office Bengaluru, KA 560066","TL;DR:
High-Impact Trust Workshop is an experiential learning workshop on trust dynamics with a combination of Theory + Simulations.
For All Members of the Organization.",Tarun Agarwala,"In order to show you the most relevant results, we have omitted some entries very similar to the 9 already displayed.
If you like, you can repeat the search with the omitted results included.",https://www.google.com/search?q=Empanetics%20High-Impact%20Trust%20Workshop%20Tarun%20Agarwala
Bihar Startup Conclave & Bihari Hero Awards 2024,17/03/2024,"West of Ram Gulam Chowk, South Gandhi Maidan, Raja Ji Salai, Lodipur Patna, BR 800001","Business in Bihar.com is organizing a Bihar Startup Conclave & Bihari Hero Awards 2024
Join us for an exciting event celebrating the entrepreneurial spirit of Bihar and honoring our Bihari Heroes!
The Bihar Startup Conclave & Bihari Hero Awards 2024 is a must-attend gathering for all those passionate about startups, innovation, and the incredible achievements of Bihari individuals.",Ashish Aggarwal,"सैयद शाहनवाज हुसैन भारतीय जनता पार्टी के राष्ट्रीय प्रवक्ता हैं। वो बिहार राज्य के पूर्व उद्योग मंत्री है। 1968 में बिहार में सुपौल में जन्मे, उनके पास पटना और दिल्ली में इंजीनियरिंग में डिप्लोमा है। उन्होंने विलियम्स हाई स्कूल, सुपौल से अपने उच्च माध्यमिक पूरा किया। उनका घर शहर बज़ीगद्वार वारिसनगर था, समस्तीपुर के एक छोटे से गांव थे। शाहनवाज हुसैन रेनू शर्मा (हिंदू ब्राह्मण) से शादी की और उनके दो बेटे हैं।[1] वह तीन बार लोकसभा सांसद (1999, 2006, 2009) और एक बार बिधानपरिषद सदस्य (2021 वर्तमान ) रह चुके हैं।",https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%88%E0%A4%AF%E0%A4%A6_%E0%A4%B6%E0%A4%BE%E0%A4%B9%E0%A4%A8%E0%A4%B5%E0%A4%BE%E0%A4%9C_%E0%A4%B9%E0%A5%81%E0%A4%B8%E0%A5%88%E0%A4%A8
Women of Impact Awards 2024,06/03/2024,"T-Hub Hyderabad, TS 500081","Women of Impact Awards
Join us for an incredible evening celebrating the remarkable achievements of women who have made a significant impact in their fields. This prestigious event will take place on Wednesday, March 6, 2024 at T-Hub in Hyderabad, India.
Prepare to be inspired as we honor these extraordinary women who have shattered glass ceilings and paved the way for others. From trailblazing entrepreneurs to influential leaders, this event will showcase the power and resilience of women in various industries.",Triumphs of Talent,"Triumphs of Talent (ToT) stands as a beacon of recognition, celebrating excellence, innovation, and the relentless pursuit of greatness. We honor individuals who embody the spirit of distinction, pushing boundaries, and showcasing unparalleled talent across diverse domains. Our commitment lies in shining a spotlight on remarkable achievements, fostering inspiration, and championing the extraordinary journey of each individual’s success story",https://totawards.com/women-of-impact-march-2024/
